Date,AAPL,AMZN,GOOG,MSFT
2018-01-02,40.83159255981445,59.45050048828125,53.25,80.56207275390625
2018-01-03,40.82448959350586,60.209999084472656,54.124000549316406,80.93698120117188
2018-01-04,41.01410675048828,60.47949981689453,54.31999969482422,81.64933013916016
2018-01-05,41.4810676574707,61.457000732421875,55.11149978637695,82.66161346435547
2018-01-08,41.326988220214844,62.34349822998047,55.34700012207031,82.74598693847656
2018-01-09,41.322242736816406,62.6349983215332,55.3129997253418,82.68975067138672
2018-01-10,41.31277084350586,62.71649932861328,55.13050079345703,82.3148422241211
2018-01-11,41.54743194580078,63.83399963378906,55.2760009765625,82.55854034423828
2018-01-12,41.97646713256836,65.26000213623047,56.112998962402344,83.98323822021484
2018-01-16,41.76313400268555,65.24299621582031,56.0880012512207,82.81160736083984
2018-01-17,42.452903747558594,64.75,56.5989990234375,84.48938751220703
2018-01-18,42.49082565307617,64.66600036621094,56.489498138427734,84.4518814086914
2018-01-19,42.30121612548828,64.72899627685547,56.8754997253418,84.35816955566406
2018-01-22,41.955135345458984,66.3655014038086,57.79050064086914,85.86725616455078
2018-01-23,41.964622497558594,68.12699890136719,58.49850082397461,86.1390609741211
2018-01-24,41.29617691040039,67.87550354003906,58.21200180053711,86.06407165527344
2018-01-25,40.55900192260742,68.89749908447266,58.51850128173828,86.54209899902344
2018-01-26,40.653812408447266,70.10250091552734,58.79199981689453,88.16366577148438
2018-01-29,39.812347412109375,70.88400268554688,58.77899932861328,88.03242492675781
2018-01-30,39.57767105102539,71.89099884033203,58.18450164794922,86.92639923095703
2018-01-31,39.68671417236328,72.54450225830078,58.49700164794922,89.05411529541016
2018-02-01,39.7696647644043,69.5,58.3849983215332,88.35111999511719
2018-02-02,38.0440673828125,71.49749755859375,55.595001220703125,86.02657318115234
2018-02-05,37.09355926513672,69.5,52.790000915527344,82.48353576660156
2018-02-06,38.643768310546875,72.14199829101562,54.029998779296875,85.60480499267578
2018-02-07,37.81650161743164,70.83899688720703,52.42900085449219,83.99262237548828
2018-02-08,36.77592849731445,67.5250015258789,50.07600021362305,79.68099212646484
2018-02-09,37.22574996948242,66.9800033569336,51.888999938964844,82.65227508544922
2018-02-12,38.725154876708984,69.3115005493164,52.59700012207031,83.54270935058594
2018-02-13,39.11309051513672,70.72550201416016,52.60499954223633,84.1988296508789
2018-02-14,39.834232330322266,72.55249786376953,53.48500061035156,85.51722717285156
2018-02-15,41.17180633544922,73.08799743652344,54.47600173950195,87.25940704345703
2018-02-16,41.03852462768555,72.43450164794922,54.7400016784668,86.63787841796875
2018-02-20,40.90048599243164,73.4175033569336,55.12300109863281,87.31590270996094
2018-02-21,40.714839935302734,74.14600372314453,55.56700134277344,86.1575927734375
2018-02-22,41.055179595947266,74.26699829101562,55.33150100708008,86.38360595703125
2018-02-23,41.769187927246094,75.0,56.339500427246094,88.57781982421875
2018-02-26,42.595054626464844,76.09750366210938,57.1875,89.85853576660156
2018-02-27,42.45701217651367,75.5989990234375,55.91450119018555,88.70964813232422
2018-02-28,42.39274597167969,75.62249755859375,55.23649978637695,88.30470275878906
2018-03-01,41.65018844604492,74.67250061035156,53.47600173950195,87.43834686279297
2018-03-02,41.93817138671875,75.01249694824219,53.94599914550781,87.6266860961914
2018-03-05,42.08335876464844,76.18049621582031,54.54650115966797,88.18228912353516
2018-03-06,42.047645568847656,76.88200378417969,54.75299835205078,87.88094329833984
2018-03-07,41.65733337402344,77.25,55.481998443603516,88.38946533203125
2018-03-08,42.111907958984375,77.59300231933594,56.29999923706055,88.9262466430664
2018-03-09,42.83543014526367,78.94450378417969,58.00199890136719,90.91325378417969
2018-03-12,43.24955368041992,79.91950225830078,58.224998474121094,91.12985229492188
2018-03-13,42.83305358886719,79.40899658203125,56.90850067138672,88.90743255615234
2018-03-14,42.46891784667969,79.55000305175781,57.4744987487793,88.38004302978516
2018-03-15,42.51889419555664,79.11599731445312,57.479000091552734,88.6908187866211
2018-03-16,42.36894226074219,78.58399963378906,56.7864990234375,89.08631134033203
2018-03-19,41.721595764160156,77.24649810791016,54.99100112915039,87.47599029541016
2018-03-20,41.707313537597656,79.32550048828125,54.885501861572266,87.7020034790039
2018-03-21,40.76244354248047,79.09300231933594,54.54399871826172,87.08988952636719
2018-03-22,40.18648910522461,77.24600219726562,52.45399856567383,84.55667877197266
2018-03-23,39.25589370727539,74.77799987792969,51.07849884033203,82.09881591796875
2018-03-26,41.11944580078125,77.79299926757812,52.660499572753906,88.3141098022461
2018-03-27,40.06511306762695,74.85250091552734,50.255001068115234,84.25533294677734
2018-03-28,39.622413635253906,71.57099914550781,50.22800064086914,84.17999267578125
2018-03-29,39.931819915771484,72.36699676513672,51.589500427246094,85.95042419433594
2018-04-02,39.670013427734375,68.59950256347656,50.32350158691406,83.36070251464844
2018-04-03,40.07699966430664,69.60250091552734,50.670501708984375,84.48135375976562
2018-04-04,40.84336471557617,70.52850341796875,51.25699996948242,86.9486312866211
2018-04-05,41.1265869140625,72.5875015258789,51.390499114990234,86.99574279785156
2018-04-06,40.07461929321289,70.2614974975586,50.35200119018555,84.97103118896484
2018-04-09,40.47208023071289,70.30400085449219,50.772499084472656,85.47955322265625
2018-04-10,41.23368453979492,71.81099700927734,51.582000732421875,87.4665756225586
2018-04-11,41.04090881347656,71.35250091552734,50.99850082397461,86.50602722167969
2018-04-12,41.44550704956055,72.42500305175781,51.6254997253418,88.12577819824219
2018-04-13,41.58592224121094,71.53949737548828,51.4635009765625,87.6549301147461
